,block_mined,gas,gas_price,hashpower_accepting,round_gp_10gwei,time_mined,tx_cost
b'2\xb1Cm\xd3\xe5\rH\xe3\xc6_\xa6\xf4-U\xab~\xce\x88P\xbah}\xb2.\x95)\x8b\x8f@\x9b\x9f',8934634.0,44339.0,1000000000.0,36.0,10.0,1573766286.0,
b'2\xd2\x1d\xccY]\x11\xc7LXZuJ;D\xb8\x92\xfa\xcc\x80\xc0\x16\x8e\x8a\xe4y\xcaY$Zv\x12',8934634.0,47585.0,1000000000.0,36.0,10.0,1573766286.0,
b'3\xab\xa6\x93%\xa9\xd8_\xa0\xa7[\xa3r)\x0cd\xaf\xd0\xed\x9c\x8f\xdd\xb8dEW\xcc\xc7\x1aN\x9b\x9f',8934630.0,21000.0,1000000000.0,36.0,10.0,1573766197.0,210000.0
"b'4[g\xaa)bY\xef\xd9%S7ZW\xd1F\x85\xfb,<\xe9DG\xbc\xe5\x11W3j\x98B\xc1'",8934633.0,95000.0,19000000000.0,100.0,190.0,1573766280.0,18050000.0
b'4\x914\x01/\x9f\xd1vI\x1d\xee2\x1f\xb9\x94\\~F\xa2q\xb6F\x11A\xd4\xd9g\x93AN\xdf0',8934633.0,120000.0,10000000000.0,100.0,100.0,1573766280.0,12000000.0
b'4\xd1Oz9\xea==!\xf6\x1e;3\xe3\x05F\xba\xa1]\xdb\xb3\x88wtn|7\\Zc\x07\xb9',8934630.0,54466.0,30000000000.0,100.0,300.0,1573766197.0,16339800.0
"b""4\xffGc\x15;\x84C\x81\xf9\x1b\xdc\xb1UN\xeb\xbeoqG\x85\x0b\xd3$\x0f'ge\xca\xa0BI""",8934629.0,5000000.0,2000000000.0,36.0,20.0,1573766190.0,100000000.0
b'56\x8d\xcd\xaa\x87\xda9=\x81\n\xdd\xac_8\xd3\xdb\xe8S\x80\x0f?\x99a\x84\xac\xb5\x95\x0b:f\xb3',8934630.0,85776.0,8000000000.0,64.00000000000001,80.0,1573766197.0,6862080.0
b'5\x90\xea\xbe\x01!\x91\x8bp\xca>\x89\x13s;Bb8\xb3E\x0e\xbbz\xd7\xed^\xa4\x18\xaa\xaa\xb6S',8934630.0,21000.0,1000000000.0,36.0,10.0,1573766197.0,210000.0
"b'6\x1dH\x04\x93U\xa7\xa6\xae,\x8b\xce\x7fl\xe1ON\xa2\x9d\xdd\x88X\xa6\xbbn.\xd0\xbc\xf7\xef\x0fF'",8934630.0,90000.0,1000000000.0,36.0,10.0,1573766197.0,900000.0
b'7\xa1g\x9cb<\xe4DU?\xe4\x86\x00\xe5\x07\xb7U\x89\x08\xc2\x06\x88$\x07\x0e\x1b\xd3\x86BD\xf1\xd3',8934631.0,100000.0,10000000000.0,100.0,100.0,1573766237.0,10000000.0
b'7\xfe!\x902\x8f\xc8I\xa6=J\xed\xa7\x01v\xee\x99\xea\xd7\x06A\x9d\x0c_*$\\\xf5\xd3\xb0-\xe5',8934633.0,200000.0,10000000000.0,100.0,100.0,1573766280.0,20000000.0
"b'8\xc2\xa6\xb8\x7f\x10.7\xda\x93\xbfaZ\xa5q\xf6\xfe\xed\xad\xe1\x9a.s\x01Q\xc1""^x\xfb\x04o'",8934634.0,90000.0,1200000000.0,36.0,10.0,1573766286.0,
"b'9\x16_\xa2\x05\xf8\xabS6cW|7\x84\x18=\x02*\x7f,\xc5\x1a\x0e\x06\x1dzHS# BB'",8934631.0,90000.0,26000000000.0,100.0,260.0,1573766237.0,23400000.0
b'9!\x0f\xd2\xf4\xbc\x9a_\tU\x1f\xe3\x9f\xf5\xe5GH\x00\x97\x98\xd6Y\x00\x9b\xdb\x1a\xed\xa7#\xdf\xe4\xf6',8934626.0,54466.0,30000000000.0,100.0,300.0,1573766161.0,16339800.0
"b""9P'/\xd41\xdd;\xbd\x19\xb4c\xeb=oPI+$\x827/{tq\xc7=\xae\x96\x03\xe1\x87""",8934631.0,200000.0,19000000000.0,100.0,190.0,1573766237.0,38000000.0
"b';\x0f\xde`SI\xc2v\xb2\x1e(C\xb1\xbaRl\xb0Jm\x82\xa5iD""\xd7\x9f\x90\xee\xbeB\xe6\xe7'",8934634.0,1600000.0,10000000000.0,100.0,100.0,1573766286.0,
b';\xb5\x94^\x94\xd2\xe1\xbf\xe3\x85*\xfb\x98m\xaa`\x10y\xe4;\xae\xa9t\xadl $\xb1b\xb3\xd8H',8934633.0,100000.0,2250000000.0,36.0,20.0,1573766280.0,2000000.0
"b';\xdfP\x90\xe9f\x84d\xe6\xe1\x03c""KdE\xaa\xfc\xe2o\x95\xe1&\xa1<\xeb\x02\xd3y\x14s\x0e'",8934630.0,52051.0,10000000000.0,100.0,100.0,1573766197.0,5205100.0
b'<\xc2\x97\xa6\xee\xa9{\x7f\xf0#\x8f\xfc`\x01\xa2\xf2v0\xe3#\xfbsm\xd4\xcc\x08\xc7\x06\xfeI\xc1\xc5',8934629.0,50000.0,3000000000.0,36.0,30.0,1573766190.0,1500000.0
"b'<\xd8\x84\xc6\xe0\x10\x06\x14\xf2-;&\x8d\x01\xfe3$\x18\x8e=,\x1a\xef5@\xa6\x17\xcc*\xeeX\xe1'",8934634.0,205032.0,1000000000.0,36.0,10.0,1573766286.0,
b'<\xf6\x85\xa0wh\xbdLD\xdbH\x1d\xe0\x03\xcf\xd1Y\xff\x10\xd7>\x91*\xeb_\x91uI=\x8dGv',8934630.0,60000.0,1100000000.0,36.0,10.0,1573766197.0,600000.0
b'=\xc6m\xddJ\xd1\xb5\xb7f*\x10\xb4\xd6\x1aZv\x1a\x99[\xca\x84\xbb\x0f2m)H\xdc\x7f\xacrk',8934631.0,21000.0,20000000000.0,100.0,200.0,1573766237.0,4200000.0
"b"">\xd0\xb6\xf3\x05'OP\x8a!\t34\xbe%\xd6\x8f(\xfd\xb7\x9b\x8d\xd3@y\xfc\x90\xa7#\\\x1d;""",8934630.0,38976.0,1100000000.0,36.0,10.0,1573766197.0,389760.0
b'>\xe8\x1dr\x87@j\xe7\xc3\xb1\xaa*\xbfE \xab\xf9\x0c{\x1c\xe9#\x14\xbfR\x90U]a\xb9\xa8\xb9',8934626.0,65000.0,31000000000.0,100.0,310.0,1573766161.0,20150000.0
"b"">\xee\xd0\x17\xd7,E~_\xef\x985b\\\x0fE\x17\x13\xb1 \x8b^N\x00\x9e\x97\xd0{\xda\x17'g""",8934630.0,22000.0,23805000001.0,100.0,230.0,1573766197.0,5060000.0
b'?k\xc1=\x878\x17\xe9a\x87\xbe<\xdd\xdc\xaa$\x92Z\xbdBd1\xaf\xabQ&\xa3{\x06\xf4\xbd\xea',8934631.0,81000.0,25000000000.0,100.0,250.0,1573766237.0,20250000.0
"b""@Z]\x89EZK\x93Nn\xceM5;\xcf\xd6\x92v!\xaf\xe1'\xe9\x03\x19\xbb\xbd\x11s~!\x91""",8934630.0,110996.0,10000000000.0,100.0,100.0,1573766197.0,11099600.0
b'Ch\x8f\r_\x85Bd\xa6\xae\x17)\xdb:\xc8C0\x82\x03\xaa\x1a}\x95\xa6\x0b\x00R\x87\x02\xf2p\x1a',8934630.0,21000.0,10000000000.0,100.0,100.0,1573766197.0,2100000.0
"b'C\xec\xb8\x16G\xcaedx\xec&\xcf\x1e\xd4%\x9b\xba\x90\xbf*\xf8\x99\xc4\xa9F}""\xd9\x1f#\xe5M'",8934634.0,21000.0,1500000000.0,36.0,10.0,1573766286.0,
b'D6N\xff\xb6\xcdv\x86\xcf\x90\xd4\x00_\xda\xcam\xb4x\xf4\xb2\xb3QG\x97$\xfc\x8f\xc5q\xb3\x18*',8934633.0,250000.0,30000000000.0,100.0,300.0,1573766280.0,75000000.0
b'DJ\xb9X\xcdr\xbe=9\x12\xe3M\x84\x1b#\xd1\xf7R\xfb\xb3-\xb9\xa7\x06\x8f\xaa\x9a\x06Z\x7f\x96E',8934629.0,100000.0,18000000000.0,100.0,180.0,1573766190.0,18000000.0
b'Dm\x1a\x8f\xe5\xf0\x89\xbb\x81_\xec>\xe4\xe4\x9c\xc7\xce\xf6\xc0\\\xd0\xddW@\xdd\x90n\xe6\x14\t\xcc\x9e',8934626.0,21000.0,41000000000.0,100.0,410.0,1573766161.0,8610000.0
b'D\xb5\xf1\xfa\xa2\x84\x11~\xaa\xf13\xe5\xf4\xb7\xfd\xc7\xfe\x92o\x13B\xca/\x08\xae\xdf#u\xae\xfc\xee\xd6',8934630.0,139580.0,4000000000.0,48.99999999999999,40.0,1573766197.0,5583200.0
b'D\xeaP\xe2q\x83\x02n\xa4^\xc3I\xfe2\xe7\xdbV\x8eO\xd7\xe8\xca\xbf\xf1um>Q\x81\xbfK\x96',8934633.0,21000.0,30000000000.0,100.0,300.0,1573766280.0,6300000.0
"b""EK\n\x02\xfe\xbd6\xb6\xa2+\xcbu\x99\x04LO\xe0P\x15%y\x18\xdd\xd2\x94'X\x04\x93F\xc2\xb9""",8934629.0,90000.0,1000000000.0,36.0,10.0,1573766190.0,900000.0
b'E\xf5\x92\xa4\xde#\x81\xa7\xfc\xae\x11[\x1f\xe3\x07\xf4\x94\x1ap\x98\x96\x9f\x03\xebm\x11\x84\xca<\xb74\xeb',8934630.0,60786.0,1000000000.0,36.0,10.0,1573766197.0,607860.0
"b'FjL\x84\xc3""\xbcaDk\xa0=\xec\x8b\x0c\x08\x96\x9cI<d?\xef-\xf0\xc1\xdc\x89\xd1$\x82\xe5'",8934630.0,21000.0,30000000000.0,100.0,300.0,1573766197.0,6300000.0
b'F\xaa\x1dJ\xa9\x15\xbc[\xbd\x82\x9az\x81\xfd\x88\xca2F\x88\xde\xf1\xbf\x82\x9f\xe2\x05]\xcd\xb0\xf8\xc3\xcd',8934630.0,5000000.0,12000000000.0,100.0,120.0,1573766197.0,600000000.0
b'Gx\xb9\xa4\x97\xf7\xd2g\xa7\xfa\xca\xe5\xadd\x89\xe8\x14\xa1\x0f\x9b\x97\xc9\xaf\x95(\xca\xf6\x9d\t\xfe\xcdX',8934627.0,21000.0,10000000000.0,100.0,100.0,1573766175.0,2100000.0
b'G\xa8\xc0\x01y\xc0Do\xc5\xa9!\x82;\x13\x96W\xe4\xdaJ1\xb8-\x07#f\x13\xc2\x9d\xe2n\x8a\xfe',8934630.0,21000.0,6000000000.0,48.99999999999999,60.0,1573766197.0,1260000.0
b'G\xd0@H\xa5d\xcd\x98\x05\xe3V.|\xc7M \xc8\xc9<\xcc%\x89\xa5\x1a\x83BBY\x8a\x1fX\xce',8934626.0,42000.0,20000000000.0,100.0,200.0,1573766161.0,8400000.0
b'G\xd9c\x0c\xdb\xfbA\xbd=\xe4w\r\xf5^\x8a\xcd\x1a5\x99\x06\x82n\xebEF2\xddk\xd14\x8d\x04',8934629.0,60000.0,22000000000.0,100.0,220.0,1573766190.0,13200000.0
b'G\xf7\xd6\xfcg\x9a\xcd\xc6\x06\x94\x14\xa6\xc2a\x1d\xd3H\xd4\\j\xc1\xe8\x0b=\x1fd\xd2\xdfs-\xa6\xa4',8934629.0,100000.0,2250000000.0,36.0,20.0,1573766190.0,2000000.0
b'H:\xa9%\x04\xe9\xc5(\x8e+\xdf\xe1\xeb1n\x02R\xac\xfa\xfe\xd2\xcbB\xfa%\x7f(I\xc3\x8e\xe4\xc7',8934633.0,50000.0,3000000000.0,36.0,30.0,1573766280.0,1500000.0
b'H\xf8HU\xf9\xd9\xcd`8\x02R\xd9\xcam\x1e\xc2\x8c\xcd\xd3\x8dr\xc6\x00\xa1\xdb\x01\xb4?J\xcca&',8934629.0,21000.0,10000000000.0,100.0,100.0,1573766190.0,2100000.0
b'Il\x18\xa4$\xb2\x15\x8e&\xed\xb3\xc1\xb8fy\x8a\xeb\xbb4B\xfdi\xe9\xe4mV\xcf\x97\x08F\\\x90',8934634.0,55000.0,1000000000.0,36.0,10.0,1573766286.0,
b'I|(\x8d\xd5\x184\x1d\xd1\xe1p;G\xeal\xa1\x8a\x94\x04D-\xbc\x9cVqgY\xd9\xbb\x0f_~',8934630.0,90000.0,1000000000.0,36.0,10.0,1573766197.0,900000.0
b'J!\xd4\x97\x84\xd5\xf0.\xc6\x8f\xdd\xa0\xd4F\xb83\xb7\x04\x91\xf9\xda\xc3\xed`\xdc\x99\xbbg\xa6\xa6z$',8934630.0,42000.0,1100000000.0,36.0,10.0,1573766197.0,420000.0
b'J\x9c\xc2\x931\x8ayq^\xc0:a\xd8Y\xe3\x1d\xdaEo\xdf\xdf\xad\x06\\U\xeaJB&\x96{\xcf',8934629.0,210000.0,27644581054.0,100.0,270.0,1573766190.0,56700000.0
"b'K\x9e\x9f\x1e#M\xfd%\xc1\xfb\xa8L""\x10\xf9\xc0\xae\xf2rl\x87f\xf3\xacu\xaa\x15v\x06G8d'",8934630.0,90000.0,1000000000.0,36.0,10.0,1573766197.0,900000.0
b'K\xbb\x07\x1d\x7f\x9c\x0e\xe1\xadf\xcb\x0b\x86\x16\xce\x84\x015\x87N\xff\x07:\t\x8b \x16\x8af\xbe\xb4\xf6',8934629.0,21000.0,1000000000.0,36.0,10.0,1573766190.0,210000.0
b'K\xee\x1dV\xc4\x05\xd0\xed\xd3\x0f\xe0\xb0\xef\xaf\xd7\xe9w\x0f\xab\x90dn\x14\xee\xec\xc2\xe9W\xa5\xf8\xb5\xa4',8934633.0,21000.0,30000000000.0,100.0,300.0,1573766280.0,6300000.0
b'L-\xb4L\xb3\x02$2\xb0\xbf\x96#\xf5\x0c\x11\xdb\x1fa!x\xd9\xd4S\x08\x80\x0e\xc6\xf3\x92%\x9f\xce',8934630.0,250000.0,12000000000.0,100.0,120.0,1573766197.0,30000000.0
b'L=\xf4\xab\xa7\xee.L\x94\x9f\x80C/1(\xb9O\x08\x0ff<\xfd\xee\xce\xe2wd\xcc\xec-\x1d\xb7',8934626.0,21000.0,10000000000.0,100.0,100.0,1573766161.0,2100000.0
b'LY\xf2\x02a\xd0\xa6\xf7(\x99\x15)\xa9s\xf9\xd1g\xddG\xbe\xb3\x8bF\xc7V\x8ag[y\xb2\x86\xe5',8934630.0,1000000.0,1000000000.0,36.0,10.0,1573766197.0,10000000.0
b'L\xba\xacC\x06X\xd1\x84}\xe7\x17x\x9c\xec{5R\xd1\xbd\xb8\xfd`\xd5A-\x91\xd9\x8f\x94W\x0c\x03',8934630.0,38796.0,1000000000.0,36.0,10.0,1573766197.0,387960.0
b'MiK\x13-/\xe3\x04\xd3\x90+\x1e\xd7\xb8\x00{b\xb3W\x85n\x96O\xd8(S\x1fe\x87#o\xc3',8934630.0,100000.0,2250000000.0,36.0,20.0,1573766197.0,2000000.0
"b""N\nve\xb9\xd8C\xfak\xb4\xf2r\xc9?\xec]\xe8b'\x1fyb\xad2P\xb5\xcf\xa7\x0e\xdd\xbd$""",8934629.0,669173.0,1350000000.0,36.0,10.0,1573766190.0,6691730.0
b'P\xd0\xde\x1c\xb7\xa6\xe8`\xe6\xff\x98\x0e\xd3\x8b_\xbc+C\x9c\x04\x11\xe7(\xf4\x87\xbb\xb9\xb3z\xfe\xc91',8934629.0,248952.0,5000000000.0,48.99999999999999,50.0,1573766190.0,12447600.0
"b'P\xd4\x8c\x8f\xe2\xf8|!\x9aE7\x1b]\x07\xe7k\xfb\xa7,]\x17n\xf7D\x9e\x14\x99\xf9\xe4t\x7fa'",8934631.0,1600000.0,13000000000.0,100.0,130.0,1573766237.0,208000000.0
b'Q\x9c\xc5.E\x08\x9f[\xfc\xdb\x81\xda\xbc\x02\xf637!\x96\xab\xdaXY\xce\xb2\x98\xf4r\xdc\x0f\xa9\x1e',8934630.0,180000.0,21000000000.0,100.0,210.0,1573766197.0,37800000.0
"b'Q\xa3fl\x0bJ\x9aH\xaa\x91o1\x0f\xb5\xe0\xc0\xdf!\xbd^\x9e\x10LV""\x06\xee\xb9\x02\x06\xac^'",8934634.0,65000.0,31000000000.0,100.0,310.0,1573766286.0,
b'Q\xfd]-k\xb9E\xbbe\xf1\xe1\x8c\x142\xa2\xe0\xef;n\x96\xc9\xbb\xcdj\xf4\x95ls\xbf\xcal\x97',8934626.0,150000.0,22000000000.0,100.0,220.0,1573766161.0,33000000.0
"b'R\xbc,\x03&@%\xc8\xe9\x7f\xb96\x06`*>k\x87{\xad\xa8\xf2\x10\xc7u\xce\xcd\xf6\xa7\x93\xdb\xe8'",8934633.0,100000.0,15000000000.0,100.0,150.0,1573766280.0,15000000.0
b'R\xfd\x16b\xef\x813\x13\x82-\xa95m\x16\x9f\x86\x7f\xe5#\x9a\xc2zZ\x15\x8f8Th-pd1',8934630.0,21000.0,1000000000.0,36.0,10.0,1573766197.0,210000.0
b'SP\xcf\x0b\xc8\xe7.\xd0\xb0U\x13PZ\x8e-\x8ef{5\x9b\xb2\xda%\x9b\x8e\xf5\xadS\x1b1\xec\xf7',8934626.0,90000.0,20000000000.0,100.0,200.0,1573766161.0,18000000.0
"b""SR\xc9\xfea \xef\x19\x92\xcb\x14\x92\xb88E\xdc)a\x01\xd0Ae'L\xea\x93n`\x89\t\xc1i""",8934627.0,166666.0,50000000000.0,100.0,500.0,1573766175.0,83333000.0
"b'S\x82u\xc6sqy\xeb\xccQkc\xd7\xf7\x03pz\x05\xe6t\xa3\xf5\xad\x11~!{\x02"".\xa2\x1f'",8934630.0,21000.0,10000000000.0,100.0,100.0,1573766197.0,2100000.0
b'S\xa6/\xf6U\xfd\xd8v|\xb7xT&\x10hc\xc5\xbc\x81k\xc5\t^\xaa\xe9\x08\x95A1\xabb\x1b',8934629.0,36601.0,1000000000.0,36.0,10.0,1573766190.0,366010.0
b'S\xf7\x9c\x9em\xf9\xb6le\xdaN\xfd\x1c@\xa1\xc2\xb0\x99\xc0\xb0M\x9b\x80\xf4\x08In\xd9\x1et\xd8_',8934633.0,21000.0,10000000000.0,100.0,100.0,1573766280.0,2100000.0
b'T\xbdnq\xca4\xd6\xe1\x89\xce\x94\xd3\xcdKw\x96\xa2\x06q\x01\xe4\xc1\xe8[\x9d\xd0\xb8^]3|?',8934634.0,291151.0,6000000000.0,48.99999999999999,60.0,1573766286.0,
b'U;\x87\\\x87)\ro0\x13\xea\xa1&\xe3\xc0\xb3\xa7C\xb4\xbc\x01k\x13\xd2\xcf\xca\xbf\xf6\x9a\xc2\t\x9f',8934633.0,600000.0,4000000000.0,48.99999999999999,40.0,1573766280.0,24000000.0
b'UjO\x99\xed-\x98\x08\xf1ZGZ\x93\xee\x1a\x03M1\x1b\xaf\x04<\x8d\xdc!S\x03\xdd[\xed\x8c\xf3',8934631.0,1600000.0,13000000000.0,100.0,130.0,1573766237.0,208000000.0
"b'Uy\x042\x0bHl\x00l\xfe1K;a%\x1a\xf9/GT,\x02\xbeUL\x8c\xeaeA\xd2\x82\xe4'",8934630.0,2000000.0,40000000000.0,100.0,400.0,1573766197.0,800000000.0
b'U|e\xb0\x85I\xa7\xce`})9\x19\xfb\xec\xe07\x19k\xc6\xb7\xef\xdb\xe4\x1e\x9c\x8c\x10\x9b\xcf\xd2\xd1',8934629.0,166666.0,50000000000.0,100.0,500.0,1573766190.0,83333000.0
"b'Vrrv\x8b\x06\xed\xa6D\xf2\x7f]ia\xa5\xffE\xc7F\x81\x14\xd5\xb6\xd7;,\x07\x04\xcb\x8e\x8dg'",8934631.0,90000.0,26000000000.0,100.0,260.0,1573766237.0,23400000.0
b'W\x916\xd0\x06\n\xbc\xda\x8bg\xf5\xcb\xc9q\x13\xce@\xc4\xcer\xd9\x18\xbf\xfah\tlQ\xe4\xa4\xcb9',8934630.0,200000.0,10000000000.0,100.0,100.0,1573766197.0,20000000.0
"b'W\xbd\xc6]9\xf5\xe2\x18h\xae\xf7Y""J\x98\x19J\x94\xc8\xc1w\xf9\x99\x10\x17\xd6f\x93\xaf\x04\x93\x06'",8934633.0,100000.0,2250000000.0,36.0,20.0,1573766280.0,2000000.0
b'X\xef\xe1\x9eQ\x93\x94\xf0\xc9\x95\x96\xbe\x82\xb4\xc9\xed&\x9d\xf1\xa8\x06@\xdf<p5\x8d\x8eQ]\xf4\xa1',8934626.0,21000.0,10000000000.0,100.0,100.0,1573766161.0,2100000.0
b'Y3\xa6\x811:\xb9-\x06\xa3\xa9\x8as\xeeRxM\xbeH\x86~\x14\xef\xce\xf3%H\xc1\xf2\xc2\xd1\x16',8934629.0,100000.0,2199999988.0,36.0,20.0,1573766190.0,2000000.0
b'Y\xf6:\xf1\x90\x83:t\xa3X\x97\xbd!\xba\x18Y\xb1J\x05\xd2K^!\x7f\xbf\xed\x0b\tW\x1cM\x12',8934634.0,103005.0,1000000000.0,36.0,10.0,1573766286.0,
"b'Y\xff""d\x97!U\xf59\xa8-,\r\xc2\x9e<\x11<\xf3Hz\xf4\xfb\xa9\xd1s\x0b\xe1d~\xe4\xe5'",8934632.0,99924.0,10000000000.0,100.0,100.0,1573766258.0,9992400.0
"b""Z\xcd\xfb\xb4\x8b\xdab\xbddlx\xff\xae\x1e\xbf\xb0\xfc\x98\x0e\xbbLLYK,\xdc9X'{\xed@""",8934633.0,21000.0,1000000000.0,36.0,10.0,1573766280.0,210000.0
b'Z\xdc\x86\x10\xef\xa204\x9f3\x04m\xcb\x974Q\xb1\xf3\x10/h\x9e\xdb\xfa<\xab\xbf\xe1\x86ka\xf1',8934630.0,200000.0,19000000000.0,100.0,190.0,1573766197.0,38000000.0
b'[\xd3\xac\x91\xc5C\xd9\xef\x81e\xb3;\x16A\xfb~%v1\xbe\x9c\x1d\xa4\xa1~\xef\xb2;\xd7\xbej\xd5',8934626.0,1600000.0,10000000000.0,100.0,100.0,1573766161.0,160000000.0
"b']\x8a\x8f\x01\x08\xbb \xb7\xef\x12/\xaeP\x9c\x8d\xa5\xbf\xb7\xba\xaf44s\xf3\x9d\xf5,\x12\xb2\n\xe6 '",8934630.0,100000.0,71000000000.0,100.0,710.0,1573766197.0,71000000.0
"b']\xb5\xa7C\x85\xe6\xe8\xa4\xf7\xf6""q\xae{\x8f)\xc3\x05{q\xb7?\xb6y\xd9\xa7\xaa\x80DW\xa6\xe7'",8934633.0,250000.0,4000000000.0,48.99999999999999,40.0,1573766280.0,10000000.0
b'^N\x15\xfb\xf2\xc0\xf9?\xeb\x13\xaf\x99&\xf1~=\xa1\xbf\xfd\xe5\\)(v2J\xc3?7\xb8c\x1c',8934630.0,1500000.0,1000000020.0,36.0,10.0,1573766197.0,15000000.0
b'^\xc5\xba\xf6\xfa\xf8]\xce\x97\xca\xd1\xe2*\x1d\xd8\xd7\x89\x07\xbc8)U\x9e:\t\xf84\xf9\xa9i\xee:',8934630.0,1000000.0,10000000000.0,100.0,100.0,1573766197.0,100000000.0
"b""`\xe8\x02\x010G\x9f\x02\x07\xda'\xee\xae\xb4\xa5\xdfF\xf63B\xf6\xe4m)>'\xcc\x06bk~1""",8934629.0,22000.0,5000000000.0,48.99999999999999,50.0,1573766190.0,1100000.0
b'c\x1e\xc2\x05\xf3\xb3\xdd.\xa0[@\\g\xed\xcd\xcd\xae-\x9b\xb7%\x14\x88\x19q\xa4\xbe\xf8\xbe0M\xa2',8934631.0,54466.0,30000000000.0,100.0,300.0,1573766237.0,16339800.0
b'cb\xf7\x89w\x82\x08\xd0\xc8=\x15R\xac;N7\x01\xadh\xdd\xa6.\x85s\xa2}\xf0Hj\xe0\xe1\xf8',8934633.0,100000.0,2250000000.0,36.0,20.0,1573766280.0,2000000.0
b'cch\xab\x1d\xd0\xcb\xf2\xcd\xd0\xa3Z\xc0\x1b\xd4\xdd\xe3kV\xb2e\x81\x8a\xc7\x94\xef\x18\xbd/kxN',8934630.0,200000.0,11000000000.0,100.0,110.0,1573766197.0,22000000.0
"b'd\x06\x12\xd2\xc0\xfc}q0\xee\x04\x0e\xaa\xa7\xba|""\xeb\xe9\xab\xb1\xa6\xa7\r%\x8dV\xee\xf1.\xc2\xb2'",8934631.0,21000.0,10000000000.0,100.0,100.0,1573766237.0,2100000.0
